rxn	MGYG000000076	MGYG000005177	MGYG000049266	MGYG000073722	MGYG000082523	MGYG000111157	MGYG000142005	MGYG000164457	MGYG000167059	MGYG000241626	MGYG000258880	MGYG000278633
rxn00442_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00453_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00456_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00459_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00460_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00461_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00462_c0	1	0	0	1	1	0	1	0	0	1	1	0
rxn00463_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00469_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00474_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00483_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00490_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00493_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00499_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00500_c0	0	1	1	1	0	0	0	0	1	1	1	1
rxn00506_c0	0	0	0	0	0	0	1	1	0	0	0	0
rxn00514_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00515_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00517_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00527_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00533_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00536_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00541_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00543_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00545_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00547_c0	1	1	0	1	1	1	1	1	1	1	1	1
rxn00548_c0	1	1	1	0	0	1	1	1	1	1	0	1
rxn00549_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00551_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00552_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00554_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00555_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00556_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00557_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00558_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00559_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00560_c0	1	1	0	1	1	1	1	1	1	1	1	1
rxn00566_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00575_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00577_c0	1	1	0	1	1	1	1	1	1	1	1	0
rxn00598_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00599_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00606_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00608_c0	1	1	1	1	1	1	1	0	1	1	1	1
rxn00611_c0	1	1	1	1	1	1	1	0	1	1	1	1
rxn00612_c0	1	1	1	1	1	1	1	0	1	1	1	1
rxn00615_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00621_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00642_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00646_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00647_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00649_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00650_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00653_c0	0	0	0	0	0	0	1	1	0	0	0	0
rxn00654_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00670_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00672_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00676_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00678_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00684_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00686_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00689_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00690_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00692_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00693_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00695_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00699_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00701_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00702_c0	1	1	0	0	0	0	1	1	1	1	0	0
rxn00704_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00707_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00708_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00709_c0	1	1	1	1	1	1	1	1	1	1	1	1
