rxn	MGYG000000099	MGYG000005380	MGYG000006816	MGYG000028321	MGYG000044926	MGYG000055012	MGYG000057648	MGYG000151681	MGYG000172598	MGYG000173425	MGYG000187342	MGYG000217838	MGYG000266151
rxn00513_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00514_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00515_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00517_c0	1	0	1	1	1	1	1	1	1	1	1	1	1
rxn00527_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00533_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00536_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00539_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00540_c0	1	0	0	1	1	0	1	1	1	1	0	0	0
rxn00541_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00543_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00545_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00547_c0	0	0	0	0	0	0	0	0	0	1	0	0	0
rxn00548_c0	0	0	1	0	0	0	1	1	1	0	0	0	1
rxn00549_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00551_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00552_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00554_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00555_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00556_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00557_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00558_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00566_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00575_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00598_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00599_c0	0	0	0	0	0	0	0	0	0	1	0	0	1
rxn00602_c0	1	1	1	1	1	1	1	0	1	1	1	1	1
rxn00611_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00612_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00615_c0	1	1	0	1	1	0	1	1	1	1	1	1	0
rxn00621_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
